audio_path,label,source,speaker_id
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2605399.flac,1,asvspoof2021_df,LA_0032
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2086350.flac,1,asvspoof2021_df,LA_0032
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2402530.flac,0,asvspoof2021_df,LA_0014
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3478206.flac,0,asvspoof2021_df,LA_0013
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3299189.flac,1,asvspoof2021_df,TGM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3593709.flac,0,asvspoof2021_df,LA_0003
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3761782.flac,1,asvspoof2021_df,VCC2TM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2627392.flac,1,asvspoof2021_df,TGM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3567412.flac,1,asvspoof2021_df,TFF1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2615419.flac,0,asvspoof2021_df,VCC2TF1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3744689.flac,0,asvspoof2021_df,LA_0037
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3004523.flac,1,asvspoof2021_df,TEF2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2320914.flac,0,asvspoof2021_df,LA_0020
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_2754557.flac,0,asvspoof2021_df,LA_0021
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2622028.flac,1,asvspoof2021_df,LA_0030
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3029191.flac,1,asvspoof2021_df,TMM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3793895.flac,1,asvspoof2021_df,LA_0048
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2376585.flac,1,asvspoof2021_df,LA_0045
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part03\ASVspoof2021_DF_eval\flac\DF_E_4896535.flac,1,asvspoof2021_df,LA_0011
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3809796.flac,0,asvspoof2021_df,LA_0016
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3185709.flac,0,asvspoof2021_df,LA_0029
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2385371.flac,1,asvspoof2021_df,TEF1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3156748.flac,1,asvspoof2021_df,TFM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3848289.flac,1,asvspoof2021_df,VCC2TF1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3718900.flac,1,asvspoof2021_df,VCC2TF2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_2876407.flac,1,asvspoof2021_df,VCC2TM2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2435450.flac,1,asvspoof2021_df,VCC2TF2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3813207.flac,1,asvspoof2021_df,TFM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3322379.flac,1,asvspoof2021_df,VCC2TF2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2701594.flac,1,asvspoof2021_df,TEF2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_4124233.flac,0,asvspoof2021_df,LA_0028
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_4131894.flac,1,asvspoof2021_df,TFM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_4008499.flac,1,asvspoof2021_df,VCC2TM2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part03\ASVspoof2021_DF_eval\flac\DF_E_4666140.flac,1,asvspoof2021_df,VCC2TF1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2601149.flac,1,asvspoof2021_df,TGF1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part03\ASVspoof2021_DF_eval\flac\DF_E_4844019.flac,0,asvspoof2021_df,LA_0048
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2038144.flac,1,asvspoof2021_df,VCC2TM2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part03\ASVspoof2021_DF_eval\flac\DF_E_4892920.flac,1,asvspoof2021_df,TMF1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3437586.flac,1,asvspoof2021_df,VCC2TM2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2324782.flac,0,asvspoof2021_df,TGM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_3951423.flac,1,asvspoof2021_df,TEM2
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part02\ASVspoof2021_DF_eval\flac\DF_E_4236505.flac,1,asvspoof2021_df,VCC2TM1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part03\ASVspoof2021_DF_eval\flac\DF_E_4807863.flac,1,asvspoof2021_df,LA_0017
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2369444.flac,0,asvspoof2021_df,LA_0010
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2514455.flac,1,asvspoof2021_df,TGF1
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part01\ASVspoof2021_DF_eval\flac\DF_E_3123448.flac,1,asvspoof2021_df,LA_0043
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2083730.flac,0,asvspoof2021_df,LA_0036
C:\Users\advit\OneDrive\Desktop\CallShield\ASVspoof_2021_DF\ASVspoof2021_DF_eval_part00\ASVspoof2021_DF_eval\flac\DF_E_2396295.flac,1,asvspoof2021_df,VCC2TM1
